ID,Title,Genre,X5,X6,author_ID_link,Author_ID,name,surname,forename,gender,date_of_birth,date_of_death,place_of_birth,longitude,latitude
d_untreue_1763,Die in der Liebe herumschweifende oder bestrafte Untreue,Belletristik,unknown,1763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kosegarten_poesieen02_1798,Poesieen,Belletristik,Ludwig Gotthard Kosegarten,1798,http://d-nb.info/gnd/11898618X,11898618X,Ludwig Gotthard Kosegarten,Kosegarten,Ludwig Gotthard,Mann,1. Februar 1758,26. Oktober 1818,Grevesmühlen,11.191599,53.86336
glueck_pandecten01verbesserungen_1798,Verbesserungen und Zusätze zum ersten Bande des Glückischen Commentars über die Pandecten,Wissenschaft,Christian Friedrich von Glück,1798,http://d-nb.info/gnd/116667826,116667826,Christian Friedrich von Glück,Glück,Christian Friedrich,Mann,1. Juli 1755,20. Januar 1831,NA,NA,NA
anzengruber_gwissenswurm_1874,Der G'wissenswurm,Belletristik,Ludwig Anzengruber,1874,http://d-nb.info/gnd/11850357X,11850357X,Ludwig Anzengruber,Anzengruber,Ludwig,Mann,29. November 1839,10. Dezember 1889,Wien,16.37169,48.208199
lange_schachspiel_1856,Lehrbuch des Schachspiels,Gebrauchsliteratur,Max Lange,1856,http://d-nb.info/gnd/116788704,116788704,Max Lange,Lange,Max,Mann,1832,1899,Magdeburg,11.629166,52.1275
wartmann_germania05_1653,"De Statu Pertvrbato Franciae et Germaniae: Vnpartheyischer wolmeynender Discursuum Supplementum, oder Fünffter Theil",Wissenschaft,Sigismund Friedrich Wartmann,1653,http://d-nb.info/gnd/124573444,124573444,Sigismund Friedrich Wartmann,Wartmann,Sigismund Friedrich,NA,NA,NA,NA,NA,NA
zesen_helikon01_1640,Deütscher Helicon,Belletristik,Philipp von Zesen,1640,http://d-nb.info/gnd/118636596,118636596,Philipp von Zesen,Zesen,Philipp,Mann,8. Oktober 1619,13. November 1689,Priorau,12.282777,51.7325
pufendorf_einleitung_1682,Einleitung zu der Historie der Vornehmsten Reiche und Staaten/ so itziger Zeit in Europa sich befinden,Gebrauchsliteratur,Samuel von Pufendorf,1682,http://d-nb.info/gnd/118597051,118597051,Samuel von Pufendorf,Pufendorf,Samuel,Mann,8. Januar 1632,16. Oktober 1694,Dorfchemnitz,13.45,50.766666
pufendorf_einleitung_1691,Einleitung zur Sitten- und Stats-Lehre,Wissenschaft,Samuel von Pufendorf,1691,http://d-nb.info/gnd/118597051,118597051,Samuel von Pufendorf,Pufendorf,Samuel,Mann,8. Januar 1632,16. Oktober 1694,Dorfchemnitz,13.45,50.766666
schmidt_rockenphilosophia01_1705,"Die gestriegelte Rocken-Philosophia, Oder Auffrichtige Untersuchung derer Von vielen super-klugen Weibern hochgehaltenen Aberglauben",Gebrauchsliteratur,Johann Georg Schmidt,1705,http://d-nb.info/gnd/104278218,104278218,Johann Georg Schmidt,Schmidt,Johann Georg,NA,31. März 1660,10. März 1722,NA,NA,NA
unknown_civilprozessordnung_1877,Civilprozeßordnung,Gebrauchsliteratur,NA N. N.,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
boerne_paris01_1832,Briefe aus Paris,Belletristik,Ludwig Börne,1832,http://d-nb.info/gnd/118512749,118512749,Ludwig Börne,Börne,Ludwig,Mann,1786,1837,Frankfurt am Main,8.684166,50.115277
gercke_torpedowaffe_1898,Die Torpedowaffe,Gebrauchsliteratur,Hermann Gercke,1898,http://d-nb.info/gnd/102264333,102264333,NA,NA,NA,NA,NA,NA,NA,NA,NA
glauber_furni01_1646,Furni Novi Philosophici Oder Beschreibung einer New-erfundenen Distillir-Kunst,Wissenschaft,Johann Rudolph Glauber,1646,http://d-nb.info/gnd/118695304,118695304,Johann Rudolph Glauber,Glauber,Johann Rudolph,Mann,16. April 1604,10. März 1670,Karlstadt,9.772389,49.96034
euler_rechenkunst01_1738,Einleitung zur Rechen-Kunst,Wissenschaft,Leonhard Euler,1738,http://d-nb.info/gnd/118531379,118531379,Leonhard Euler,Euler,Leonhard,Mann,15. April 1707,18. September 1783,Basel,7.58333,47.549999
stieler_venus_1660,Die Geharnschte Venus oder Liebes-Lieder im Kriege gedichtet mit neuen Gesang-Weisen zu singen und zu spielen gesezzet,Belletristik,Kaspar von Stieler,1660,http://d-nb.info/gnd/118618121,118618121,Kaspar von Stieler,Stieler,Kaspar,Mann,2. August 1632,24. Juni 1707,Erfurt,11.032777,50.978611
spener_bedencken04_1702,Theologische Bedencken,Gebrauchsliteratur,Philipp Jakob Spener,1715,http://d-nb.info/gnd/118616099,118616099,Philipp Jakob Spener,Spener,Philipp Jakob,Mann,13. Januar 1635,5. Februar 1705,Rappoltsweiler,7.319379,48.195099
buchner_theoria03_1685,Theoria Et Praxis Artilleriæ,Wissenschaft,Johann Siegmund Buchner,1685,http://d-nb.info/gnd/128720263,128720263,Johann Siegmund Buchner,Buchner,Johann Siegmund,NA,NA,NA,NA,NA,NA
dubois_naturerkennen_1872,Über die Grenzen des Naturerkennens,Wissenschaft,Emil Heinrich Du Bois-Reymond,1872,http://d-nb.info/gnd/118527665,118527665,Emil Heinrich Du Bois-Reymond,Du Bois-Reymond,Emil Heinrich,Mann,7. November 1818,26. Dezember 1896,Berlin,13.416669,52.5
praetorius_verrichtung_1668,Blockes-Berges Verrichtung,Belletristik,Johannes Praetorius,1668,http://d-nb.info/gnd/11859611X,11859611X,Johannes Praetorius,Praetorius,Johannes,NA,22. Oktober 1630,25. Oktober 1680,Kalbe-Zethlingen,11.3,52.7
dilger_arndes_1620,Des Ehrwürdigen/ Achtbaren vnd Hochgelarten Herrn Johannis Arndes [...] Richtige/ vnd in Gottes Wort wolgegründete Lehre/ in den vier Büchern vom wahren Christenthumb,Wissenschaft,Daniel Dilger,1620,http://d-nb.info/gnd/120231069,120231069,Daniel Dilger,Dilger,Daniel,NA,29. Juni 1572,26. Februar 1645,Danzig,18.64637,54.352049
quenstedt_mineralogie_1854,Handbuch der Mineralogie,Wissenschaft,Friedrich August Quenstedt,1855,http://d-nb.info/gnd/116317914,116317914,Friedrich August Quenstedt,Quenstedt,Friedrich August,Mann,9. Juli 1809,21. Dezember 1889,Eisleben,11.548333,51.5275
dannhauer_catechismus08_1666,Catechismvs-Milch/ Oder Der Erklärung deß Christlichen Catechismi/ Achter Theil,Gebrauchsliteratur,Johann Conrad Dannhauer,1666,http://d-nb.info/gnd/120227649,120227649,Johann Conrad Dannhauer,Dannhauer,Johann Conrad,Mann,24. März 1603,7. November 1666,Köndringen,7.806129,48.1394
oberwinder_buschoff_1892,Der Fall Buschoff,Gebrauchsliteratur,Heinrich Oberwinder,1892,http://d-nb.info/gnd/117078247,117078247,Heinrich Oberwinder,Oberwinder,Heinrich,Mann,1845,1914,Weilburg,8.262489,50.48438
brandes_naturlehre03_1832,Vorlesungen über die Naturlehre,Gebrauchsliteratur,Heinrich Wilhelm Brandes,1832,http://d-nb.info/gnd/100055427,100055427,Heinrich Wilhelm Brandes,Brandes,Heinrich Wilhelm,Mann,27. Juli 1777,17. Mai 1834,Groden bei Ritzebüttel,NA,NA
spee_cautio_1647,Gewissens-Buch: Von Processen Gegen die Hexen,Wissenschaft,Friedrich von Spee,1647,http://d-nb.info/gnd/11861598X,11861598X,Friedrich von Spee,Spee,Friedrich,Mann,25. Februar 1591,7. August 1635,Kaiserswerth,6.736239,51.30147
wienbarg_feldzuege_1834,Aesthetische Feldzüge,Wissenschaft,Ludolf Wienbarg,1834,http://d-nb.info/gnd/118807226,118807226,Ludolf Wienbarg,Wienbarg,Ludolf,Mann,25. Dezember 1802,2. Januar 1872,Altona,9.933333,53.55
gundling_discours_1733,"Ausführlicher und mit Illustren Exempeln aus der Historie und Staaten Notiz erläuterter Discovrs über Weyl. Herrn D. Io. Franc. Bvddei, SS. Th. Prof., Philosophiæ Practicæ Part. III. Die Politic",Wissenschaft,Nicolaus Hieronymus Gundling,1733,http://d-nb.info/gnd/116926635,116926635,Nicolaus Hieronymus Gundling,Gundling,Nicolaus Hieronymus,Mann,25. Februar 1671,9. Dezember 1729,Hohenstein (Kirchensittenbach),NA,NA
ferdinand_copia_1621,"Copia, Kayserl: Aachts Erklerung / wider Pfaltzgraff Friderich Churfürst",Gebrauchsliteratur,II. Ferdinand,1621,http://d-nb.info/gnd/118532510,118532510,"Ferdinand II., Heiliges Römisches Reich, Kaiser","Ferdinand II., Heiliges Römisches Reich, Kaiser",NA,Mann,9. Juli 1578,15. Februar 1637,Graz,15.45,47.066666
gruber_examen_1703,Examen Fortificatorium oder Gründlicher Unterricht von der Theoria und Praxi Der heutigen Kriegs-Bau-Kunst,Wissenschaft,Johann Sebastian Gruber,1703,http://d-nb.info/gnd/104124938,104124938,Johann Sebastian Gruber,Gruber,Johann Sebastian,NA,NA,NA,NA,NA,NA
geier_schuetz_1672,Die köstlichste Arbeit/ aus dem 119. Psalm v. 54. bei Ansehnlicher und Volckreicher Leichbestattung Des Herrn Henrich Schützens,Gebrauchsliteratur,Martin Geier,1672,http://d-nb.info/gnd/116494603,116494603,Martin Geier,Geier,Martin,Mann,24. April 1614,12. September 1680,Leipzig,12.371111,51.339444
zeiller_centuria02_1659,Centuria II. Variarvm Quæstionum,Wissenschaft,Martin Zeiller,1659,http://d-nb.info/gnd/118772392,118772392,Martin Zeiller,Zeiller,Martin,Mann,1589,1661,Ranten,NA,NA
glueck_pandecten02verbesserungen_1800,Berichtigungen und Zusätze zum zweyten Bande des Glückischen Commentars über die Pandecten,Wissenschaft,Christian Friedrich von Glück,1800,http://d-nb.info/gnd/116667826,116667826,Christian Friedrich von Glück,Glück,Christian Friedrich,Mann,1. Juli 1755,20. Januar 1831,NA,NA,NA
lessing_fabeln_1759,Fabeln,Belletristik,Gotthold Ephraim Lessing,1759,http://d-nb.info/gnd/118572121,118572121,Gotthold Ephraim Lessing,Lessing,Gotthold Ephraim,Mann,22. Januar 1729,15. Februar 1781,Kamenz,14.093611,51.267777
campe_theophron01_1783,"Theophron, oder der erfahrne Rathgeber für die unerfahrne Jugend",Gebrauchsliteratur,Joachim Heinrich Campe,1783,http://d-nb.info/gnd/118518658,118518658,Joachim Heinrich Campe,Campe,Joachim Heinrich,Mann,29. Juni 1746,22. Oktober 1818,Deensen,9.58333,51.866669
anthus_esskunst_1838,Vorlesungen über Esskunst,Gebrauchsliteratur,Gustav Blumröder,1838,http://d-nb.info/gnd/116210273,116210273,Gustav Blumröder,Blumröder,Gustav,Mann,27. Juni 1802,23. Dezember 1853,Nürnberg,11.0775,49.454166
hobrecht_polytechnikum_1878,Vortrag gehalten im Architekten-Verein zu Berlin am 7. October 1878,Gebrauchsliteratur,James Hobrecht,1878,http://d-nb.info/gnd/117525561,117525561,NA,NA,NA,NA,NA,NA,NA,NA,NA
grabbe_napoleon_1831,Napoleon oder Die hundert Tage,Belletristik,Christian Dietrich Grabbe,1831,http://d-nb.info/gnd/118541102,118541102,Christian Dietrich Grabbe,Grabbe,Christian Dietrich,Mann,11. Dezember 1801,12. September 1836,Detmold,8.873055,51.938333
eckarth_chronica_1732,Chronica Oder Historische Beschreibung Derer Zwey nächst an Zittau anstossenden Dörffer Eckersberg Und Olbersdorff,Gebrauchsliteratur,Friedrich Eckarth,1732,http://d-nb.info/gnd/136444369,136444369,Friedrich Eckarth,Eckarth,Friedrich,Mann,30. August 1687,30. April 1736,Herwigsdorf (Zittau),NA,NA
puetter_staatsverfassung03_1787,Historische Entwickelung der heutigen Staatsverfassung des Teutschen Reichs,Wissenschaft,Johann Stephan Pütter,1787,http://d-nb.info/gnd/118742906,118742906,Johann Stephan Pütter,Pütter,Johann Stephan,Mann,25. Juni 1725,12. August 1807,Iserlohn,7.70281,51.375469
virchow_cellularpathologie_1858,Die Cellularpathologie in ihrer Begründung auf physiologische und pathologische Gewebelehre,Wissenschaft,Rudolf Virchow,1858,http://d-nb.info/gnd/118627198,118627198,Rudolf Virchow,Virchow,Rudolf,Mann,13. Oktober 1821,5. September 1902,Schivelbein,15.776709,53.774639
weckherlin_gedichte_1641,Gaistliche und Weltliche Gedichte,Belletristik,Georg Rodolf Weckherlin,1641,http://d-nb.info/gnd/118629840,118629840,Georg Rodolf Weckherlin,Weckherlin,Georg Rodolf,Mann,1584,1653,NA,NA,NA
bodmer_sammlung03_1742,"Sammlung Critischer, Poetischer, und anderer geistvollen Schriften",Belletristik,Johann Jacob Bodmer,1742,http://d-nb.info/gnd/118512315,118512315,Johann Jakob Bodmer,Bodmer,Johann Jakob,Mann,19. Juli 1698,2. Januar 1783,Greifensee (Ort),NA,NA
erbkam_tagebuch02_1843,Tagebuch meiner egyptischen Reise,Wissenschaft,Georg Gustav Erbkam,1843,http://d-nb.info/gnd/117511501,117511501,Georg Erbkam,Erbkam,Georg,Mann,29. September 1811,3. Februar 1876,Glogau,16.084499,51.663609
kaempfer_japan01_1777,Geschichte und Beschreibung von Japan,Wissenschaft,Engelbert Kaempfer,1777,http://d-nb.info/gnd/118559168,118559168,Engelbert Kaempfer,Kaempfer,Engelbert,Mann,16. September 1651,2. November 1716,Lemgo,8.89901,52.027859
oa_artzneybuch_1688,Ein Koch- und Artzney-Buch,Gebrauchsliteratur,NA N. N.,1688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
buerger_gedichte_1778,Gedichte,Belletristik,Gottfried August Bürger,1778,http://d-nb.info/gnd/118517104,118517104,Gottfried August Bürger,Bürger,Gottfried August,Mann,31. Dezember 1747,8. Juni 1794,Molmerswende,11.258888,51.625277
hulsius_schifffahrt_1649,Die fünff vnd zweyntzigste Schifffahrt/ Nach dem Königreich Chili in West-Jndien,Gebrauchsliteratur,Levinus Hulsius,1649,http://d-nb.info/gnd/117056235,117056235,Levinus Hulsius,Hulsius,Levinus,Mann,1550,1606,Gent,3.71667,51.049999
muehlpfort_gedichte01_1686,Teutsche Gedichte,Belletristik,Heinrich Mühlpfort,1686,http://d-nb.info/gnd/124365329,124365329,Heinrich Mühlpfort,Mühlpfort,Heinrich,Mann,10. Juli 1639,1. Juli 1681,Breslau,17.033329,51.1
winckelmann_kunstgeschichte01_1764,Geschichte der Kunst des Alterthums,Wissenschaft,Johann Joachim Winckelmann,1764,http://d-nb.info/gnd/118633600,118633600,Johann Joachim Winckelmann,Winckelmann,Johann Joachim,Mann,9. Dezember 1717,8. Juni 1768,Stendal,11.85867,52.6069
grimmelshausen_simplicissimus_1669,Der Abentheurliche Simplicissimus Teutsch,Belletristik,Hans Jakob Christoffel von Grimmelshausen,1669,http://d-nb.info/gnd/118542273,118542273,Hans Jakob Christoffel von Grimmelshausen,Grimmelshausen,Hans Jakob Christoffel,Mann,XX.XX.1622,17. August 1676,Gelnhausen,9.187419,50.201639
eckarth_chronica_1737,Chronica Oder Historische Beschreibung Des Dorffes Herwigsdorff,Gebrauchsliteratur,Friedrich Eckarth,1737,http://d-nb.info/gnd/136444369,136444369,Friedrich Eckarth,Eckarth,Friedrich,Mann,30. August 1687,30. April 1736,Herwigsdorf (Zittau),NA,NA
klaj_lobrede_1645,Lobrede der Teutschen Poetery,Gebrauchsliteratur,Johann Klaj,1645,http://d-nb.info/gnd/118723324,118723324,Johann Klaj,Klaj,Johann,Mann,1616,16. Februar 1656,Meißen,13.473611,51.161388
rochow_versuch_1772,"Versuch eines Schulbuches für Kinder der Landleute, oder zum Gebrauch in Dorffschulen",Wissenschaft,Friedrich Eberhard von Rochow,1772,http://d-nb.info/gnd/11874559X,11874559X,Friedrich Eberhard von Rochow,Rochow,Friedrich Eberhard,Mann,11. Oktober 1734,16. Mai 1805,Berlin,13.416669,52.5
grimmelshausen_trutzsimplex_1670,Trutz Simplex: Oder Ausführliche und wunderseltzame Lebensbeschreibung Der Ertzbetrügerin und Landstörtzerin Courasche/ Wie sie anfangs eine Rittmeisterin/ hernach eine Hauptmännin/ ferner eine Leutenantin/ bald eine Marcketenterin/ Mußquetirerin/ und letzlich eine Ziegeunerin abgegeben,Belletristik,Hans Jakob Christoffel von Grimmelshausen,1670,http://d-nb.info/gnd/118542273,118542273,Hans Jakob Christoffel von Grimmelshausen,Grimmelshausen,Hans Jakob Christoffel,Mann,XX.XX.1622,17. August 1676,Gelnhausen,9.187419,50.201639
thomasius_einleitungvernufftlehre_1691,Einleitung zu der Vernunfft-Lehre,Wissenschaft,Christian Thomasius,1691,http://d-nb.info/gnd/11862220X,11862220X,Christian Thomasius,Thomasius,Christian,Mann,1. Januar 1655,23. September 1728,Leipzig,12.371111,51.339444
faulhaber_instrument_1610,Newe Geometrische vnd Perspectiuische Inuentiones Etlicher sonderbahrer Instrument/ die zum Perspectiuischen Grundreissen der Pasteyen vnnd Vestungen/ wie auch zum Planimetrischen Grundlegen der Stätt/ Feldläger vnd Landtschafften/ deßgleichen zur Büchsenmeisterey sehr nützlich vnnd gebrauchsam seynd,Wissenschaft,Johannes Faulhaber,1610,http://d-nb.info/gnd/119130084,119130084,Johannes Faulhaber,Faulhaber,Johannes,Mann,1580,1635,Ulm,9.99155,48.398409
pfizer_einheit_1849,Die deutsche Einheit und der Preußenhaß,Gebrauchsliteratur,Gustav Pfizer,1849,http://d-nb.info/gnd/118973630,118973630,Gustav Pfizer,Pfizer,Gustav,Mann,29. Juli 1807,19. Juli 1890,Stuttgart,9.176944,48.782222
becher_narrheit_1682,Närrische Weißheit Und Weise Narrheit,Wissenschaft,Johann Joachim Becher,1682,http://d-nb.info/gnd/118507923,118507923,Johann Joachim Becher,Becher,Johann Joachim,Mann,6. Mai 1635,XX.10.1682,Speyer,8.43111,49.32083
hug_familie_1896,Die christliche Familie im Kampfe gegen feindliche Mächte,Gebrauchsliteratur,Gallus Joseph Hug,1896,http://d-nb.info/gnd/179215671,179215671,NA,NA,NA,NA,NA,NA,NA,NA,NA
mueller_hellenische03_1824,Die Dorier,Wissenschaft,Karl Otfried Müller,1824,http://d-nb.info/gnd/11954153X,11954153X,Karl Otfried Müller,Müller,Karl Otfried,Mann,28. August 1797,1. August 1840,NA,NA,NA
hoffmann_elixiere01_1815,Die Elixiere des Teufels,Belletristik,E. T. A.  Hoffmann,1815,http://d-nb.info/gnd/118552465,118552465,E. T. A. Hoffmann,Hoffmann,E. T. A.,Mann,24. Januar 1776,25. Juni 1822,Königsberg,20.51095,54.70649
lichtenberg_timorus_1773,"Timorus, das ist, Vertheidigung zweyer Israeliten, die durch die Kräftigkeit der Lavaterischen Beweisgründe und der Göttingischen Mettwürste bewogen den wahren Glauben angenommen haben",Gebrauchsliteratur,Georg Christoph Lichtenberg,1773,http://d-nb.info/gnd/118572628,118572628,Georg Christoph Lichtenberg,Lichtenberg,Georg Christoph,Mann,1. Juli 1742,24. Februar 1799,Ober-Ramstadt,8.74887,49.830779
wartmann_germania0203_1650,Germaniae Pertvrbatae et Restavratae sive Vnpartheyischer wolmeynender Theologo-Politicorum Discvrsvm Ander vnd dritter Theil,Wissenschaft,Sigismund Friedrich Wartmann,1650,http://d-nb.info/gnd/124573444,124573444,Sigismund Friedrich Wartmann,Wartmann,Sigismund Friedrich,NA,NA,NA,NA,NA,NA
schurz_studentencongress_1848,Der Studentencongreß zu Eisenach am 25. September 1848,Gebrauchsliteratur,Karl Schurz,1848,http://d-nb.info/gnd/118611720,118611720,Carl Schurz,Schurz,Carl,Mann,2. März 1829,14. Mai 1906,Liblar,6.82263,50.808129
arndt_christentum01_1610,Von wahrem Christenthumb,Gebrauchsliteratur,Johann Arndt,1610,http://d-nb.info/gnd/118504134,118504134,Johann Arndt,Arndt,Johann,Mann,27. Dezember 1555,11. Mai 1621,Edderitz,11.936944,51.699166
weckherlin_oden02_1619,Oden vnd Gesäng,Belletristik,Georg Rodolf Weckherlin,1619,http://d-nb.info/gnd/118629840,118629840,Georg Rodolf Weckherlin,Weckherlin,Georg Rodolf,Mann,1584,1653,NA,NA,NA
bauller_lasterspiegel_1681,"Hell-Polirter Laster-Spiegel/ Underschiedlich in sich haltend alle und jede Fugienda, Was ein Christ Böses fliehen soll",Gebrauchsliteratur,Johann Jacob Bauller,1681,http://d-nb.info/gnd/129670022,129670022,Johann Jacob Bauller,Bauller,Johann Jacob,NA,1619,1687,NA,NA,NA
morhof_unterricht_1682,Unterricht Von Der Teutschen Sprache und Poesie/ deren Uhrsprung/ Fortgang und Lehrsätzen,Wissenschaft,Daniel Georg Morhof,1682,http://d-nb.info/gnd/118784919,118784919,Daniel Georg Morhof,Morhof,Daniel Georg,Mann,6. Februar 1639,30. Juli 1691,Wismar,11.452859,53.89314
